Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2001,6477790688.22844,10.5804943321805,,3.21565753506977,274.183672816182,2.2,-26.4016292342948,1.05489130356671,190,70.5466385706504,43.0,31.1367029217317,23.6261762134693,27.208,45771139,0.000289277,0.049268903,39.7428390610683,3229.000000000001,Myanmar
2002,6777632512.0781,13.0068954922166,,2.22070502562137,280.615196363488,2.5,-26.8298777862865,1.00325836797547,170,75.3579942730087,47.0,31.2549329123915,24.0738623903879,27.391,46232653,0.000426494,0.103230987,40.1768875885917,3483.9999999999986,Myanmar
2003,10467109977.6717,14.2582573952557,,2.3777576671811,301.526091392,2.9,-30.3798505561929,0.93550676889734,190,82.477642965962,45.1,29.0506912442396,27.1169855741187,27.575,46667192,0.0240641,0.141753867,40.6510344092112,3848.9999999999986,Myanmar
2004,10567354056.4049,16.3663619555986,,2.0001628964787,315.405275497733,3.4,-36.4349797608593,0.856837524813252,230,83.0699385996303,46.2,30.2906043858085,30.1346938673784,27.76,47068772,0.0243374,0.195300032,40.9869354273807,3909.999999999998,Myanmar
2005,11986972418.5103,17.512204636055,,1.95966396539679,314.009135854492,3.9,-49.5520700748116,0.78215232398828,280,77.2370632925481,47.3,39.0957446808511,29.4773524309751,27.946,47438365,0.0652389,0.269672968,41.0062465475539,3663.9999999999986,Myanmar
2006,14502553709.8303,19.2372930203744,,1.90182128285749,316.144215141382,4.5,-50.4953996804394,0.728331835978341,300,91.1371287326069,48.4,29.3478260869565,29.8155940222125,28.132,47785135,0.182048,0.445459947,40.5461049761885,4354.999999999999,Myanmar
2007,20182477480.5512,20.4091296662276,,3.5175166973129,325.701090802142,5.4,-50.7192916542339,0.708807824555326,360,92.238878622924,49.5,30.6297859040475,31.7040885638914,28.319,48125043,0.217128,0.511172861,39.5962241482972,4438.999999999998,Myanmar
2008,31862554101.9378,22.6658154224732,,2.71127181000311,312.261921394841,6.4,-50.0477876394336,0.550688224031359,490,97.1465791023511,50.6,29.009362730293,28.4497335049921,28.507,48390793,0.22,0.753933666,38.2071243111665,4700.999999999998,Myanmar
2009,36906181380.8127,24.5320050982062,,2.92355415980151,294.199053897128,7.6,-54.0043312798301,0.555720175554536,660,102.60897867815,51.8,28.3026995979322,23.2788653089046,28.695,48660459,0.22,1.024169005,36.4293257120831,4992.999999999993,Myanmar
2010,49540813342.4834,26.4680642743774,19.8620828512879,1.81897202342465,286.00283018356,9.1,-60.8937365310255,0.745099607969388,880,128.30350416248,48.8,16.6114278138672,21.2235591585033,28.885,49024382,0.25,1.202648548,34.3133485983332,6290.000000000011,Myanmar
