country_code,country_name,year,Fossil fuel electricity production (%)
SGP,Singapore,2001,97.141043851431
SGP,Singapore,2002,97.270943918763
SGP,Singapore,2003,97.1980074719801
SGP,Singapore,2004,97.397517046535
SGP,Singapore,2005,97.498233585429
SGP,Singapore,2006,97.5812585568683
SGP,Singapore,2007,97.6320715727032
SGP,Singapore,2008,97.4854375913896
SGP,Singapore,2009,97.4107597854838
SGP,Singapore,2010,97.4008509512577
SGP,Singapore,2011,97.3619018644878
SGP,Singapore,2012,97.3111068531647
SGP,Singapore,2013,97.135650107361
SGP,Singapore,2014,97.0615633859862
SGP,Singapore,2015,96.9235346623029
,,2016,96.9235346623029
,,2017,96.9235346623029
,,2018,96.9235346623029
,,2019,96.9235346623029
,,2020,96.9235346623029
,,2021,96.9235346623029
,,2022,96.9235346623029
,,2023,96.9235346623029
,,2024,96.9235346623029
,,2025,96.9235346623029
,,2026,96.9235346623029
,,2027,96.9235346623029
,,2028,96.9235346623029
,,2029,96.9235346623029
,,2030,96.9235346623029
,,2031,96.9235346623029
,,2032,96.9235346623029
,,2033,96.9235346623029
,,2034,96.9235346623029
,,2035,96.9235346623029
THA,Thailand,2000,93.1889931962866
THA,Thailand,2001,93.3636008592072
THA,Thailand,2002,92.5155715373396
THA,Thailand,2003,92.7750185924451
THA,Thailand,2004,94.176270808975
THA,Thailand,2005,94.4552448240127
THA,Thailand,2006,93.0828444162546
THA,Thailand,2007,93.0861080500495
THA,Thailand,2008,93.4021136027566
THA,Thailand,2009,93.1028208687683
THA,Thailand,2010,94.3901154699665
THA,Thailand,2011,91.9520998006295
THA,Thailand,2012,91.6091292673571
THA,Thailand,2013,91.7220699812812
THA,Thailand,2014,91.4854652510547
THA,Thailand,2015,91.4615211521152
,,2016,91.4615211521152
,,2017,91.4615211521152
,,2018,91.4615211521152
,,2019,91.4615211521152
,,2020,91.4615211521152
,,2021,91.4615211521152
,,2022,91.4615211521152
,,2023,91.4615211521152
,,2024,91.4615211521152
,,2025,91.4615211521152
,,2026,91.4615211521152
,,2027,91.4615211521152
,,2028,91.4615211521152
,,2029,91.4615211521152
,,2030,91.4615211521152
,,2031,91.4615211521152
,,2032,91.4615211521152
,,2033,91.4615211521152
,,2034,91.4615211521152
,,2035,91.4615211521152
VNM,Vietnam,2000,45.2166710590716
VNM,Vietnam,2001,40.5057501306848
VNM,Vietnam,2002,49.1619175326852
VNM,Vietnam,2003,53.6078191814294
VNM,Vietnam,2004,61.4404120409444
VNM,Vietnam,2005,68.3260026837632
VNM,Vietnam,2006,66.1564147917941
VNM,Vietnam,2007,65.5056112702961
VNM,Vietnam,2008,64.5185023707014
VNM,Vietnam,2009,63.8677487225729
VNM,Vietnam,2010,70.8597199245545
VNM,Vietnam,2011,60.539818587132
VNM,Vietnam,2012,54.9807810055106
VNM,Vietnam,2013,58.3379979848705
VNM,Vietnam,2014,57.0185934869057
VNM,Vietnam,2015,63.2679423027994
,,2016,63.2679423027994
,,2017,63.2679423027994
,,2018,63.2679423027994
,,2019,63.2679423027994
,,2020,63.2679423027994
,,2021,63.2679423027994
,,2022,63.2679423027994
,,2023,63.2679423027994
,,2024,63.2679423027994
,,2025,63.2679423027994
,,2026,63.2679423027994
,,2027,63.2679423027994
,,2028,63.2679423027994
,,2029,63.2679423027994
,,2030,63.2679423027994
,,2031,63.2679423027994
,,2032,63.2679423027994
,,2033,63.2679423027994
,,2034,63.2679423027994
,,2035,63.2679423027994
