country_code,country_name,year,Electric power consumption (kWh per capita)
,,2018,674.510319404613
,,2019,674.510319404613
,,2020,674.510319404613
,,2021,674.510319404613
,,2022,674.510319404613
,,2023,674.510319404613
,,2024,674.510319404613
,,2025,674.510319404613
,,2026,674.510319404613
,,2027,674.510319404613
,,2028,674.510319404613
,,2029,674.510319404613
,,2030,674.510319404613
,,2031,674.510319404613
,,2032,674.510319404613
,,2033,674.510319404613
,,2034,674.510319404613
,,2035,674.510319404613
SGP,Singapore,2000,7575.43595438502
SGP,Singapore,2001,7516.16960028149
SGP,Singapore,2002,7756.31892144302
SGP,Singapore,2003,8113.5873060003
SGP,Singapore,2004,8314.32532116821
SGP,Singapore,2005,8678.16816784434
SGP,Singapore,2006,8720.02208405801
SGP,Singapore,2007,8706.57906694396
SGP,Singapore,2008,8401.04839529561
SGP,Singapore,2009,8114.36744885739
SGP,Singapore,2010,8679.99335005275
SGP,Singapore,2011,8651.75527539466
SGP,Singapore,2012,8673.98521620115
SGP,Singapore,2013,8680.60636076487
SGP,Singapore,2014,8844.68759301201
,,2015,8844.68759301201
,,2016,8844.68759301201
,,2017,8844.68759301201
,,2018,8844.68759301201
,,2019,8844.68759301201
,,2020,8844.68759301201
,,2021,8844.68759301201
,,2022,8844.68759301201
,,2023,8844.68759301201
,,2024,8844.68759301201
,,2025,8844.68759301201
,,2026,8844.68759301201
,,2027,8844.68759301201
,,2028,8844.68759301201
,,2029,8844.68759301201
,,2030,8844.68759301201
,,2031,8844.68759301201
,,2032,8844.68759301201
,,2033,8844.68759301201
,,2034,8844.68759301201
,,2035,8844.68759301201
THA,Thailand,2000,1446.80465431153
THA,Thailand,2001,1502.1097579382
THA,Thailand,2002,1612.59912386305
THA,Thailand,2003,1705.21238414541
THA,Thailand,2004,1814.48870499039
THA,Thailand,2005,1897.36284756357
THA,Thailand,2006,1982.50842033914
THA,Thailand,2007,2051.7151742753
THA,Thailand,2008,2071.53729904379
THA,Thailand,2009,2062.45996099886
THA,Thailand,2010,2261.21683366738
THA,Thailand,2011,2234.47672306928
THA,Thailand,2012,2387.30292707404
THA,Thailand,2013,2453.5288180645
THA,Thailand,2014,2474.52278469491
,,2015,2474.52278469491
,,2016,2474.52278469491
,,2017,2474.52278469491
,,2018,2474.52278469491
,,2019,2474.52278469491
,,2020,2474.52278469491
,,2021,2474.52278469491
,,2022,2474.52278469491
,,2023,2474.52278469491
,,2024,2474.52278469491
,,2025,2474.52278469491
,,2026,2474.52278469491
,,2027,2474.52278469491
,,2028,2474.52278469491
,,2029,2474.52278469491
,,2030,2474.52278469491
,,2031,2474.52278469491
,,2032,2474.52278469491
,,2033,2474.52278469491
,,2034,2474.52278469491
,,2035,2474.52278469491
VNM,Vietnam,2000,296.860781482897
VNM,Vietnam,2001,338.145646723974
VNM,Vietnam,2002,390.797649689312
VNM,Vietnam,2003,448.105926394118
VNM,Vietnam,2004,500.367374633165
VNM,Vietnam,2005,589.246442949183
VNM,Vietnam,2006,664.444411909435
VNM,Vietnam,2007,743.638529474627
VNM,Vietnam,2008,812.61355633129
VNM,Vietnam,2009,912.780286490341
VNM,Vietnam,2010,1028.42426024255
VNM,Vietnam,2011,1107.8316695399
VNM,Vietnam,2012,1210.23985202338
VNM,Vietnam,2013,1279.38642800627
VNM,Vietnam,2014,1424.23212288346
,,2015,1424.23212288346
,,2016,1424.23212288346
,,2017,1424.23212288346
,,2018,1424.23212288346
,,2019,1424.23212288346
,,2020,1424.23212288346
,,2021,1424.23212288346
,,2022,1424.23212288346
,,2023,1424.23212288346
,,2024,1424.23212288346
,,2025,1424.23212288346
,,2026,1424.23212288346
,,2027,1424.23212288346
,,2028,1424.23212288346
,,2029,1424.23212288346
,,2030,1424.23212288346
,,2031,1424.23212288346
,,2032,1424.23212288346
,,2033,1424.23212288346
,,2034,1424.23212288346
,,2035,1424.23212288346
